neighbourhood_group,price
Bronx,120
Bronx,50
Bronx,85
Bronx,65
Bronx,42
Bronx,71
Bronx,82
Bronx,50
Bronx,52
Bronx,22
Bronx,120
Bronx,50
Bronx,60
Bronx,425
Bronx,76
Bronx,75
Bronx,175
Bronx,110
Bronx,38
Bronx,80
Bronx,59
Bronx,30
Bronx,49
Bronx,85
Bronx,299
Bronx,43
Bronx,159
Bronx,76
Bronx,40
Bronx,77
Bronx,68
Bronx,40
Bronx,35
Bronx,50
Bronx,59
Bronx,100
Bronx,60
Bronx,120
Bronx,35
Bronx,75
Bronx,79
Bronx,80
Bronx,105
Bronx,40
Bronx,55
Bronx,55
Bronx,75
Bronx,45
Bronx,68
Bronx,86
Bronx,80
Bronx,79
Bronx,60
Bronx,30
Bronx,125
Bronx,125
Bronx,47
Bronx,58
Bronx,55
Bronx,45
Bronx,60
Bronx,50
Bronx,50
Bronx,40
Bronx,135
Bronx,110
Bronx,115
Bronx,100
Bronx,46
Bronx,130
Bronx,150
Bronx,60
Bronx,71
Bronx,80
Bronx,60
Bronx,73
Bronx,43
Bronx,79
Bronx,60
Bronx,84
Bronx,45
Bronx,34
Bronx,79
Bronx,60
Bronx,119
Bronx,35
Bronx,89
Bronx,40
Bronx,75
Bronx,20
Bronx,45
Bronx,130
Bronx,79
Bronx,125
Bronx,43
Bronx,80
Bronx,99
Bronx,47
Bronx,105
Bronx,60
Bronx,150
Bronx,165
Bronx,42
Bronx,42
Bronx,75
Bronx,145
Bronx,29
Bronx,41
Bronx,70
Bronx,75
Bronx,60
Bronx,75
Bronx,38
Bronx,53
Bronx,60
Bronx,45
Bronx,33
Bronx,50
Bronx,42
Bronx,43
Bronx,100
Bronx,65
Bronx,199
Bronx,40
Bronx,80
Bronx,40
Bronx,50
Bronx,60
Bronx,45
Bronx,60
Bronx,60
Bronx,65
Bronx,55
Bronx,49
Bronx,70
Bronx,75
Bronx,48
Bronx,55
Bronx,95
Bronx,60
Bronx,60
Bronx,40
Bronx,350
Bronx,28
Bronx,100
Bronx,100
Bronx,60
Bronx,70
Bronx,60
Bronx,40
Bronx,37
Bronx,120
Bronx,50
Bronx,85
Bronx,127
Bronx,62
Bronx,75
Bronx,29
Bronx,140
Bronx,100
Bronx,39
Bronx,70
Bronx,2500
Bronx,58
Bronx,50
Bronx,85
Bronx,35
Bronx,80
Bronx,75
Bronx,110
Bronx,65
Bronx,80
Bronx,72
Bronx,45
Bronx,250
Bronx,26
Bronx,65
Bronx,29
Bronx,40
Bronx,75
Bronx,35
Bronx,72
Bronx,45
Bronx,45
Bronx,119
Bronx,155
Bronx,600
Bronx,800
Bronx,0
Bronx,70
Bronx,55
Bronx,58
Bronx,70
Bronx,100
Bronx,69
Bronx,105
Bronx,175
Bronx,100
Bronx,50
Bronx,60
Bronx,35
Bronx,450
Bronx,80
Bronx,65
Bronx,55
Bronx,50
Bronx,62
Bronx,55
Bronx,42
Bronx,42
Bronx,55
Bronx,40
Bronx,45
Bronx,45
Bronx,60
Bronx,35
Bronx,59
Bronx,55
Bronx,79
Bronx,140
Bronx,60
Bronx,120
Bronx,65
Bronx,60
Bronx,42
Bronx,30
Bronx,40
Bronx,115
Bronx,40
Bronx,28
Bronx,300
Bronx,25
Bronx,35
Bronx,77
Bronx,29
Bronx,149
Bronx,80
Bronx,29
Bronx,49
Bronx,175
Bronx,40
Bronx,80
Bronx,125
Bronx,114
Bronx,60
Bronx,50
Bronx,110
Bronx,75
Bronx,50
Bronx,54
Bronx,70
Bronx,70
Bronx,73
Bronx,99
Bronx,35
Bronx,62
Bronx,70
Bronx,40
Bronx,50
Bronx,69
Bronx,49
Bronx,50
Bronx,39
Bronx,45
Bronx,100
Bronx,55
Bronx,87
Bronx,30
Bronx,65
Bronx,200
Bronx,38
Bronx,30
Bronx,50
Bronx,200
Bronx,125
Bronx,187
Bronx,140
Bronx,60
Bronx,300
Bronx,140
Bronx,26
Bronx,80
Bronx,40
Bronx,145
Bronx,80
Bronx,40
Bronx,45
Bronx,150
Bronx,50
Bronx,70
Bronx,69
Bronx,119
Bronx,60
Bronx,35
Bronx,41
Bronx,45
Bronx,29
Bronx,37
Bronx,80
Bronx,65
Bronx,250
Bronx,20
Bronx,47
Bronx,54
Bronx,34
Bronx,73
Bronx,65
Bronx,80
Bronx,80
Bronx,50
Bronx,85
Bronx,47
Bronx,240
Bronx,34
Bronx,360
Bronx,26
Bronx,40
Bronx,57
Bronx,69
Bronx,47
Bronx,65
Bronx,65
Bronx,60
Bronx,190
Bronx,44
Bronx,50
Bronx,79
Bronx,35
Bronx,95
Bronx,35
Bronx,40
Bronx,25
Bronx,70
Bronx,65
Bronx,79
Bronx,88
Bronx,23
Bronx,65
Bronx,125
Bronx,75
Bronx,40
Bronx,125
Bronx,100
Bronx,150
Bronx,50
Bronx,50
Bronx,74
Bronx,45
Bronx,40
Bronx,103
Bronx,50
Bronx,46
Bronx,80
Bronx,399
Bronx,90
Bronx,74
Bronx,86
Bronx,33
Bronx,195
Bronx,80
Bronx,45
Bronx,149
Bronx,60
Bronx,35
Bronx,105
Bronx,70
Bronx,125
Bronx,125
Bronx,150
Bronx,33
Bronx,107
Bronx,150
Bronx,35
Bronx,100
Bronx,21
Bronx,115
Bronx,85
Bronx,45
Bronx,65
Bronx,100
Bronx,110
Bronx,85
Bronx,40
Bronx,60
Bronx,200
Bronx,200
Bronx,30
Bronx,142
Bronx,79
Bronx,125
Bronx,80
Bronx,70
Bronx,80
Bronx,142
Bronx,142
Bronx,99
Bronx,142
Bronx,142
Bronx,149
Bronx,150
Bronx,26
Bronx,60
Bronx,102
Bronx,34
Bronx,150
Bronx,42
Bronx,150
Bronx,62
Bronx,38
Bronx,45
Bronx,140
Bronx,80
Bronx,75
Bronx,95
Bronx,47
Bronx,90
Bronx,75
Bronx,132
Bronx,60
Bronx,10
Bronx,35
Bronx,75
Bronx,75
Bronx,75
Bronx,475
Bronx,55
Bronx,50
Bronx,60
Bronx,80
Bronx,50
Bronx,65
Bronx,85
Bronx,69
Bronx,53
Bronx,50
Bronx,65
Bronx,65
Bronx,140
Bronx,45
Bronx,80
Bronx,50
Bronx,145
Bronx,69
Bronx,50
Bronx,280
Bronx,130
Bronx,40
Bronx,48
Bronx,68
Bronx,40
Bronx,50
Bronx,85
Bronx,100
Bronx,102
Bronx,35
Bronx,28
Bronx,28
Bronx,28
Bronx,28
Bronx,28
Bronx,55
Bronx,55
Bronx,37
Bronx,45
Bronx,42
Bronx,50
Bronx,100
Bronx,26
Bronx,300
Bronx,65
Bronx,60
Bronx,90
Bronx,87
Bronx,47
Bronx,65
Bronx,35
Bronx,40
Bronx,90
Bronx,60
Bronx,240
Bronx,40
Bronx,299
Bronx,125
Bronx,90
Bronx,84
Bronx,80
Bronx,75
Bronx,100
Bronx,48
Bronx,39
Bronx,65
Bronx,42
Bronx,65
Bronx,38
Bronx,79
Bronx,120
Bronx,81
Bronx,80
Bronx,80
Bronx,39
Bronx,48
Bronx,100
Bronx,200
Bronx,150
Bronx,100
Bronx,300
Bronx,90
Bronx,50
Bronx,45
Bronx,45
Bronx,350
Bronx,100
Bronx,90
Bronx,75
Bronx,60
Bronx,60
Bronx,55
Bronx,65
Bronx,49
Bronx,130
Bronx,60
Bronx,24
Bronx,50
Bronx,45
Bronx,55
Bronx,39
Bronx,99
Bronx,98
Bronx,60
Bronx,87
Bronx,175
Bronx,75
Bronx,50
Bronx,75
Bronx,45
Bronx,145
Bronx,60
Bronx,65
Bronx,670
Bronx,85
Bronx,80
Bronx,120
Bronx,35
Bronx,99
Bronx,85
Bronx,25
Bronx,40
Bronx,45
Bronx,69
Bronx,99
Bronx,34
Bronx,150
Bronx,70
Bronx,20
Bronx,200
Bronx,299
Bronx,80
Bronx,49
Bronx,165
Bronx,20
Bronx,20
Bronx,100
Bronx,200
Bronx,125
Bronx,60
Bronx,100
Bronx,175
Bronx,100
Bronx,42
Bronx,75
Bronx,75
Bronx,67
Bronx,28
Bronx,70
Bronx,50
Bronx,80
Bronx,74
Bronx,247
Bronx,30
Bronx,80
Bronx,50
Bronx,85
Bronx,95
Bronx,25
Bronx,50
Bronx,99
Bronx,200
Bronx,65
Bronx,68
Bronx,80
Bronx,99
Bronx,115
Bronx,65
Bronx,65
Bronx,40
Bronx,41
Bronx,289
Bronx,50
Bronx,50
Bronx,76
Bronx,40
Bronx,45
Bronx,148
Bronx,65
Bronx,75
Bronx,65
Bronx,30
Bronx,200
Bronx,50
Bronx,35
Bronx,65
Bronx,27
Bronx,159
Bronx,60
Bronx,125
Bronx,49
Bronx,100
Bronx,41
Bronx,52
Bronx,64
Bronx,100
Bronx,75
Bronx,95
Bronx,40
Bronx,60
Bronx,93
Bronx,75
Bronx,50
Bronx,39
Bronx,95
Bronx,101
Bronx,55
Bronx,59
Bronx,62
Bronx,65
Bronx,150
Bronx,140
Bronx,80
Bronx,50
Bronx,50
Bronx,80
Bronx,39
Bronx,77
Bronx,80
Bronx,50
Bronx,100
Bronx,110
Bronx,100
Bronx,35
Bronx,60
Bronx,107
Bronx,90
Bronx,35
Bronx,24
Bronx,35
Bronx,103
Bronx,125
Bronx,120
Bronx,63
Bronx,39
Bronx,100
Bronx,58
Bronx,85
Bronx,46
Bronx,60
Bronx,35
Bronx,150
Bronx,109
Bronx,25
Bronx,100
Bronx,47
Bronx,75
Bronx,50
Bronx,33
Bronx,35
Bronx,42
Bronx,100
Bronx,35
Bronx,40
Bronx,60
Bronx,45
Bronx,51
Bronx,75
Bronx,150
Bronx,45
Bronx,70
Bronx,75
Bronx,115
Bronx,115
Bronx,56
Bronx,80
Bronx,65
Bronx,85
Bronx,35
Bronx,60
Bronx,75
Bronx,100
Bronx,150
Bronx,50
Bronx,77
Bronx,49
Bronx,75
Bronx,92
Bronx,107
Bronx,70
Bronx,45
Bronx,87
Bronx,27
Bronx,20
Bronx,65
Bronx,27
Bronx,70
Bronx,120
Bronx,120
Bronx,145
Bronx,130
Bronx,36
Bronx,40
Bronx,95
Bronx,35
Bronx,100
Bronx,29
Bronx,309
Bronx,28
Bronx,37
Bronx,28
Bronx,47
Bronx,70
Bronx,69
Bronx,223
Bronx,45
Bronx,115
Bronx,55
Bronx,43
Bronx,70
Bronx,50
Bronx,60
Bronx,60
Bronx,55
Bronx,36
Bronx,40
Bronx,28
Bronx,28
Bronx,28
Bronx,28
Bronx,75
Bronx,90
Bronx,100
Bronx,80
Bronx,40
Bronx,85
Bronx,28
Bronx,28
Bronx,100
Bronx,55
Bronx,80
Bronx,75
Bronx,125
Bronx,75
Bronx,55
Bronx,35
Bronx,36
Bronx,38
Bronx,120
Bronx,73
Bronx,42
Bronx,59
Bronx,69
Bronx,99
Bronx,160
Bronx,22
Bronx,34
Bronx,109
Bronx,70
Bronx,28
Bronx,100
Bronx,60
Bronx,88
Bronx,140
Bronx,40
Bronx,55
Bronx,40
Bronx,196
Bronx,75
Bronx,50
Bronx,55
Bronx,56
Bronx,69
Bronx,75
Bronx,168
Bronx,149
Bronx,288
Bronx,79
Bronx,58
Bronx,55
Bronx,55
Bronx,35
Bronx,99
Bronx,95
Bronx,45
Bronx,85
Bronx,100
Bronx,67
Bronx,57
Bronx,60
Bronx,150
Bronx,69
Bronx,95
Bronx,60
Bronx,140
Bronx,35
Bronx,65
Bronx,65
Bronx,55
Bronx,65
Bronx,39
Bronx,80
Bronx,80
Bronx,36
Bronx,55
Bronx,220
Bronx,309
Bronx,125
Bronx,39
Bronx,39
Bronx,99
Bronx,53
Bronx,100
Bronx,150
Bronx,40
Bronx,79
Bronx,75
Bronx,140
Bronx,75
Bronx,125
Bronx,40
Bronx,40
Bronx,60
Bronx,79
Bronx,390
Bronx,122
Bronx,40
Bronx,150
Bronx,55
Bronx,100
Bronx,1000
Bronx,600
Bronx,25
Bronx,85
Bronx,117
Bronx,39
Bronx,178
Bronx,29
Bronx,33
Bronx,379
Bronx,98
Bronx,128
Bronx,38
Bronx,38
Bronx,39
Bronx,39
Bronx,39
Bronx,50
Bronx,140
Bronx,80
Bronx,125
Bronx,70
Bronx,100
Brooklyn,149
Brooklyn,89
Brooklyn,60
Brooklyn,89
Brooklyn,140
Brooklyn,215
Brooklyn,99
Brooklyn,299
Brooklyn,130
Brooklyn,80
Brooklyn,110
Brooklyn,120
Brooklyn,60
Brooklyn,55
Brooklyn,70
Brooklyn,89
Brooklyn,35
Brooklyn,85
Brooklyn,150
Brooklyn,120
Brooklyn,120
Brooklyn,150
Brooklyn,110
Brooklyn,115
Brooklyn,80
Brooklyn,80
Brooklyn,228
Brooklyn,144
Brooklyn,150
Brooklyn,49
Brooklyn,80
Brooklyn,200
Brooklyn,55
Brooklyn,225
Brooklyn,275
Brooklyn,105
Brooklyn,95
Brooklyn,145
Brooklyn,130
Brooklyn,800
Brooklyn,105
Brooklyn,85
Brooklyn,65
Brooklyn,131
Brooklyn,98
Brooklyn,250
Brooklyn,100
Brooklyn,105
Brooklyn,125
Brooklyn,175
Brooklyn,101
Brooklyn,220
Brooklyn,125
Brooklyn,80
Brooklyn,200
Brooklyn,125
Brooklyn,120
Brooklyn,325
Brooklyn,99
Brooklyn,400
Brooklyn,75
Brooklyn,90
Brooklyn,70
Brooklyn,89
Brooklyn,50
Brooklyn,77
Brooklyn,76
Brooklyn,125
Brooklyn,135
Brooklyn,250
Brooklyn,199
Brooklyn,140
Brooklyn,115
Brooklyn,160
Brooklyn,195
Brooklyn,80
Brooklyn,44
Brooklyn,85
Brooklyn,125
Brooklyn,115
Brooklyn,125
Brooklyn,475
Brooklyn,69
Brooklyn,135
Brooklyn,250
Brooklyn,250
Brooklyn,70
Brooklyn,165
Brooklyn,50
Brooklyn,150
Brooklyn,110
Brooklyn,65
Brooklyn,200
Brooklyn,150
Brooklyn,90
Brooklyn,120
Brooklyn,175
Brooklyn,135
Brooklyn,80
Brooklyn,249
Brooklyn,100
Brooklyn,140
Brooklyn,71
Brooklyn,69
Brooklyn,68
Brooklyn,195
Brooklyn,159
Brooklyn,135
Brooklyn,135
Brooklyn,65
Brooklyn,99
Brooklyn,285
Brooklyn,59
Brooklyn,39
Brooklyn,60
Brooklyn,135
Brooklyn,70
Brooklyn,60
Brooklyn,100
Brooklyn,70
Brooklyn,110
Brooklyn,60
Brooklyn,75
Brooklyn,60
Brooklyn,130
Brooklyn,95
Brooklyn,175
Brooklyn,190
Brooklyn,49
Brooklyn,140
Brooklyn,150
Brooklyn,190
Brooklyn,135
Brooklyn,145
Brooklyn,250
Brooklyn,125
Brooklyn,70
Brooklyn,229
Brooklyn,59
Brooklyn,195
Brooklyn,169
Brooklyn,55
Brooklyn,69
Brooklyn,169
Brooklyn,179
Brooklyn,135
Brooklyn,350
Brooklyn,120
Brooklyn,349
Brooklyn,349
Brooklyn,165
Brooklyn,249
Brooklyn,100
Brooklyn,200
Brooklyn,185
Brooklyn,65
Brooklyn,130
Brooklyn,199
Brooklyn,179
Brooklyn,150
Brooklyn,79
Brooklyn,650
Brooklyn,90
Brooklyn,120
Brooklyn,100
Brooklyn,175
Brooklyn,120
Brooklyn,140
Brooklyn,200
Brooklyn,165
Brooklyn,123
Brooklyn,130
Brooklyn,100
Brooklyn,190
Brooklyn,599
Brooklyn,100
Brooklyn,135
Brooklyn,175
Brooklyn,165
Brooklyn,95
Brooklyn,55
Brooklyn,199
Brooklyn,80
Brooklyn,150
Brooklyn,110
Brooklyn,190
Brooklyn,200
Brooklyn,165
Brooklyn,99
Brooklyn,39
Brooklyn,260
Brooklyn,165
Brooklyn,125
Brooklyn,225
Brooklyn,50
Brooklyn,170
Brooklyn,250
Brooklyn,141
Brooklyn,64
Brooklyn,249
Brooklyn,79
Brooklyn,120
Brooklyn,495
Brooklyn,145
Brooklyn,250
Brooklyn,451
Brooklyn,98
Brooklyn,150
Brooklyn,125
Brooklyn,255
Brooklyn,72
Brooklyn,165
Brooklyn,165
Brooklyn,75
Brooklyn,130
Brooklyn,139
Brooklyn,88
Brooklyn,80
Brooklyn,90
Brooklyn,450
Brooklyn,130
Brooklyn,89
Brooklyn,46
Brooklyn,500
Brooklyn,60
Brooklyn,350
Brooklyn,219
Brooklyn,60
Brooklyn,105
Brooklyn,75
Brooklyn,85
Brooklyn,106
Brooklyn,85
Brooklyn,91
Brooklyn,150
Brooklyn,97
Brooklyn,179
Brooklyn,500
Brooklyn,70
Brooklyn,75
Brooklyn,99
Brooklyn,350
Brooklyn,170
Brooklyn,169
Brooklyn,99
Brooklyn,160
Brooklyn,215
Brooklyn,130
Brooklyn,65
Brooklyn,43
Brooklyn,42
Brooklyn,85
Brooklyn,139
Brooklyn,105
Brooklyn,265
Brooklyn,99
Brooklyn,100
Brooklyn,190
Brooklyn,67
Brooklyn,248
Brooklyn,100
Brooklyn,145
Brooklyn,41
Brooklyn,120
Brooklyn,157
Brooklyn,195
Brooklyn,70
Brooklyn,185
Brooklyn,145
Brooklyn,185
Brooklyn,100
Brooklyn,40
Brooklyn,79
Brooklyn,100
Brooklyn,110
Brooklyn,172
Brooklyn,75
Brooklyn,116
Brooklyn,120
Brooklyn,150
Brooklyn,230
Brooklyn,79
Brooklyn,130
Brooklyn,239
Brooklyn,220
Brooklyn,80
Brooklyn,135
Brooklyn,100
Brooklyn,200
Brooklyn,80
Brooklyn,110
Brooklyn,300
Brooklyn,180
Brooklyn,350
Brooklyn,85
Brooklyn,80
Brooklyn,55
Brooklyn,438
Brooklyn,110
Brooklyn,279
Brooklyn,137
Brooklyn,280
Brooklyn,199
Brooklyn,180
Brooklyn,85
Brooklyn,199
Brooklyn,100
Brooklyn,295
Brooklyn,150
Brooklyn,129
Brooklyn,96
Brooklyn,199
Brooklyn,199
Brooklyn,199
Brooklyn,69
Brooklyn,199
Brooklyn,199
Brooklyn,199
Brooklyn,199
Brooklyn,199
Brooklyn,349
Brooklyn,249
Brooklyn,299
Brooklyn,179
Brooklyn,599
Brooklyn,110
Brooklyn,220
Brooklyn,89
Brooklyn,170
Brooklyn,98
Brooklyn,125
Brooklyn,48
Brooklyn,64
Brooklyn,154
Brooklyn,139
Brooklyn,70
Brooklyn,130
Brooklyn,92
Brooklyn,145
Brooklyn,185
Brooklyn,99
Brooklyn,48
Brooklyn,110
Brooklyn,147
Brooklyn,60
Brooklyn,290
Brooklyn,50
Brooklyn,45
Brooklyn,34
Brooklyn,190
Brooklyn,75
Brooklyn,93
Brooklyn,60
Brooklyn,65
Brooklyn,60
Brooklyn,88
Brooklyn,60
Brooklyn,110
Brooklyn,135
Brooklyn,165
Brooklyn,127
Brooklyn,402
Brooklyn,75
Brooklyn,70
Brooklyn,64
Brooklyn,800
Brooklyn,100
Brooklyn,250
Brooklyn,140
Brooklyn,90
Brooklyn,97
Brooklyn,91
Brooklyn,125
Brooklyn,75
Brooklyn,300
Brooklyn,100
Brooklyn,65
Brooklyn,47
Brooklyn,110
Brooklyn,100
Brooklyn,300
Brooklyn,140
Brooklyn,120
Brooklyn,175
Brooklyn,275
Brooklyn,189
Brooklyn,250
Brooklyn,120
Brooklyn,50
Brooklyn,100
Brooklyn,157
Brooklyn,199
Brooklyn,199
Brooklyn,199
Brooklyn,199
Brooklyn,199
Brooklyn,105
Brooklyn,135
Brooklyn,199
Brooklyn,125
Brooklyn,60
Brooklyn,85
Brooklyn,75
Brooklyn,44
Brooklyn,55
Brooklyn,30
Brooklyn,35
Brooklyn,70
Brooklyn,130
Brooklyn,52
Brooklyn,75
Brooklyn,100
Brooklyn,130
Brooklyn,75
Brooklyn,180
Brooklyn,135
Brooklyn,65
Brooklyn,149
Brooklyn,75
Brooklyn,225
Brooklyn,100
Brooklyn,135
Brooklyn,89
Brooklyn,120
Brooklyn,59
Brooklyn,49
Brooklyn,79
Brooklyn,185
Brooklyn,225
Brooklyn,325
Brooklyn,95
Brooklyn,75
Brooklyn,160
Brooklyn,180
Brooklyn,165
Brooklyn,500
Brooklyn,79
Brooklyn,200
Brooklyn,115
Brooklyn,115
Brooklyn,120
Brooklyn,70
Brooklyn,160
Brooklyn,178
Brooklyn,145
Brooklyn,125
Brooklyn,77
Brooklyn,92
Brooklyn,185
Brooklyn,65
Brooklyn,72
Brooklyn,80
Brooklyn,125
Brooklyn,120
Brooklyn,94
Brooklyn,56
Brooklyn,190
Brooklyn,129
Brooklyn,85
Brooklyn,125
Brooklyn,50
Brooklyn,70
Brooklyn,159
Brooklyn,45
Brooklyn,90
Brooklyn,250
Brooklyn,130
Brooklyn,90
Brooklyn,298
Brooklyn,123
Brooklyn,88
Brooklyn,145
Brooklyn,75
Brooklyn,229
Brooklyn,300
Brooklyn,75
Brooklyn,120
Brooklyn,160
Brooklyn,125
Brooklyn,95
Brooklyn,119
Brooklyn,500
Brooklyn,87
Brooklyn,160
Brooklyn,90
Brooklyn,250
Brooklyn,130
Brooklyn,190
Brooklyn,55
Brooklyn,125
Brooklyn,150
Brooklyn,70
Brooklyn,138
Brooklyn,200
Brooklyn,105
Brooklyn,150
Brooklyn,55
Brooklyn,299
Brooklyn,189
Brooklyn,299
Brooklyn,90
Brooklyn,80
Brooklyn,39
Brooklyn,55
Brooklyn,110
Brooklyn,200
Brooklyn,142
Brooklyn,70
Brooklyn,260
Brooklyn,59
Brooklyn,55
Brooklyn,229
Brooklyn,200
Brooklyn,250
Brooklyn,65
Brooklyn,68
Brooklyn,235
Brooklyn,100
Brooklyn,55
Brooklyn,165
Brooklyn,145
Brooklyn,110
Brooklyn,115
Brooklyn,82
Brooklyn,155
Brooklyn,100
Brooklyn,150
Brooklyn,450
Brooklyn,145
Brooklyn,225
Brooklyn,100
Brooklyn,55
Brooklyn,142
Brooklyn,350
Brooklyn,300
Brooklyn,105
Brooklyn,125
Brooklyn,225
Brooklyn,92
Brooklyn,226
Brooklyn,50
Brooklyn,200
Brooklyn,68
Brooklyn,102
Brooklyn,220
Brooklyn,385
Brooklyn,75
Brooklyn,160
Brooklyn,249
Brooklyn,80
Brooklyn,120
Brooklyn,169
Brooklyn,85
Brooklyn,90
Brooklyn,46
Brooklyn,325
Brooklyn,100
Brooklyn,175
Brooklyn,209
Brooklyn,68
Brooklyn,49
Brooklyn,349
Brooklyn,96
Brooklyn,120
Brooklyn,800
Brooklyn,349
Brooklyn,125
Brooklyn,350
Brooklyn,150
Brooklyn,180
Brooklyn,99
Brooklyn,150
Brooklyn,90
Brooklyn,95
Brooklyn,250
Brooklyn,160
Brooklyn,150
Brooklyn,89
Brooklyn,375
Brooklyn,200
Brooklyn,60
Brooklyn,36
Brooklyn,275
Brooklyn,450
Brooklyn,80
Brooklyn,280
Brooklyn,175
Brooklyn,90
Brooklyn,59
Brooklyn,189
Brooklyn,120
Brooklyn,200
Brooklyn,69
Brooklyn,135
Brooklyn,90
Brooklyn,135
Brooklyn,199
Brooklyn,65
Brooklyn,185
Brooklyn,121
Brooklyn,152
Brooklyn,250
Brooklyn,104
Brooklyn,120
Brooklyn,90
Brooklyn,50
Brooklyn,80
Brooklyn,150
Brooklyn,110
Brooklyn,115
Brooklyn,130
Brooklyn,180
Brooklyn,95
Brooklyn,60
Brooklyn,133
Brooklyn,120
Brooklyn,80
Brooklyn,159
Brooklyn,50
Brooklyn,155
Brooklyn,150
Brooklyn,75
Brooklyn,115
Brooklyn,195
Brooklyn,175
Brooklyn,80
Brooklyn,48
Brooklyn,275
Brooklyn,72
Brooklyn,250
Brooklyn,175
Brooklyn,140
Brooklyn,54
Brooklyn,77
Brooklyn,129
Brooklyn,120
Brooklyn,500
Brooklyn,149
Brooklyn,180
Brooklyn,100
Brooklyn,180
Brooklyn,128
Brooklyn,260
Brooklyn,65
Brooklyn,300
Brooklyn,125
Brooklyn,115
Brooklyn,275
Brooklyn,198
Brooklyn,35
Brooklyn,90
Brooklyn,250
Brooklyn,115
Brooklyn,200
Brooklyn,64
Brooklyn,65
Brooklyn,85
Brooklyn,400
Brooklyn,125
Brooklyn,180
Brooklyn,120
Brooklyn,85
Brooklyn,119
Brooklyn,165
Brooklyn,60
Brooklyn,80
Brooklyn,110
Brooklyn,120
Brooklyn,120
Brooklyn,350
Brooklyn,45
Brooklyn,73
Brooklyn,150
Brooklyn,195
Brooklyn,90
Brooklyn,200
Brooklyn,60
Brooklyn,72
Brooklyn,200
Brooklyn,75
Brooklyn,100
Brooklyn,139
Brooklyn,100
Brooklyn,199
Brooklyn,140
Brooklyn,45
Brooklyn,109
Brooklyn,42
Brooklyn,70
Brooklyn,355
Brooklyn,80
Brooklyn,250
Brooklyn,89
Brooklyn,35
Brooklyn,249
Brooklyn,179
Brooklyn,220
Brooklyn,198
Brooklyn,155
Brooklyn,199
Brooklyn,550
Brooklyn,60
Brooklyn,380
Brooklyn,84
